label	color	x	y	z
V3	0000B3	-11.28	-36.719	13.66
FST	0000FF	-20.15	-13.078	-4.86
PO	002266	-3.37	-34.204	7.55
PITD	003BB3	-23.86	-18.611	-2.18
1	004466	-22.15	-7.042	17.29
RI	006600	-19.29	-14.587	9.17
2	006611	-21.29	-12.072	16.81
FEF	006622	-15.19	10.563	16.05
3A	006633	-13.29	-11.569	16.81
3B	006644	-20.53	-6.539	14.71
45	006655	-19.19	14.084	11.56
V3A	006666	-15	-34.204	11.75
AUD	0077B3	-25.67	-3.521	-1.42
MT	00B300	-21.1	-22.132	-1.04
13	00B31D	-5.85	8.551	-0.56
25	00B33B	-3.37	10.06	-0.08
L	00B359	-22.43	-9.557	-0.37
RL	00B377	-20.53	-7.545	-0.85
PALL	00B395	-7.18	4.527	-2.66
PRO	00B3B3	-10.52	5.03	-3.04
PAS	00FF00	-11.38	-13.581	-14.02
TF	00FF2A	-18.81	-22.132	-8.67
AITD	00FF55	-22.91	-6.539	-10.58
AITV	00FF7F	-21.2	-9.054	-15.83
36	00FFAA	-18.14	-5.533	-18.69
ER	00FFD5	-12.33	-2.515	-17.36
35	00FFFF	-15.95	0.503	-19.84
MIP	116600	-5.76	-33.198	14.14
PS	1DB300	-9.66	-22.635	-0.75
24	226600	-5.57	-5.533	15.76
TH	2AFF00	-8.14	-22.635	-3.14
23	336600	-1.28	-23.641	16.9
6	3B00B3	-10.23	6.539	17.1
29	3BB300	-4.99	-24.144	0.49
7B	446600	-23.77	-17.102	15.38
STPP	5500FF	-28.06	-6.539	-3.9
46	556600	-13.19	16.096	11.46
S	55FF00	-13.86	-14.587	-10.77
MSTL	59B300	-19.38	-18.611	2.97
DP	660000	-14.71	-32.695	18.72
LIP	660011	-10.23	-28.168	19.29
SMA	660022	-3.18	-1.509	18.81
MDP	661100	-1.56	-32.192	18.62
7A	662200	-19.57	-24.144	18.91
VIP	663300	-7.66	-27.665	14.52
9	664400	-4.9	15.593	16.05
5	665500	-5.28	-26.659	13.18
4	666600	-2.42	-7.545	22.82
PIP	7700B3	-10.52	-34.204	7.27
V4T	77B300	-20.72	-23.641	3.64
CITV	7FFF00	-27.2	-12.575	-11.44
IG	95B300	-20.91	-4.024	1.63
V4	AA00FF	-28.63	-25.15	5.36
PRS	AAFF00	-11.09	-12.072	-11.73
CM	B30000	-20.72	-13.078	5.64
SII	B3001D	-21.58	-5.03	6.02
11	B3003B	-13.1	13.078	4.59
32	B30059	-2.04	16.599	4.21
10	B30077	-1.75	21.126	9.65
MSTD	B30095	-14.52	-24.144	7.65
12	B300B3	-15	13.581	6.69
ID	B31D00	-19.86	1.509	4.02
30	B33B00	-1.85	-28.168	9.65
G	B35900	-22.15	4.024	2.11
PA	B37700	-19.29	-8.048	3.83
14	B39500	-4.32	16.599	2.97
AI	B3B300	-15.95	-12.575	6.41
CA1	D5FF00	-15.38	-12.575	-12.78
PITV	FF0000	-27.77	-17.605	-3.52
PIR	FF002A	-14.24	4.024	-9.53
CITD	FF0055	-24.82	-12.575	-7.72
VOT	FF007F	-24.91	-23.138	-3.81
V2	FF00AA	-9.95	-31.186	-1.8
V1	FF00D5	-11.57	-36.719	3.25
VP	FF00FF	-21.77	-35.21	-7.53
STPA	FF2A00	-20.53	-6.036	-9.15
MW	FF5500	-4.42	-13.078	4.21
[???]	FF7F00	-25.77	1.509	1.44
[??]	FFAA00	-7.56	1.006	-5.14
CA3	FFD500	-16.72	-10.563	-12.11
PAC	FFFF00	-7.85	-2.515	-11.92
