gold_standard, incf, cocomac, color, x, y, z,comments
1,1,1, 2D6E64,20.31,-10.8,32.68,
11,11,11, 0A05FA,6.42,12.6,20.49,
13a, 13a, 13a, 2305FA,7.17,9.45,19.27,
2,2,2, 2D0564,27.03,-11.25,25.27,
23a, 23a, 23a,320596,0.92,-16.65,23.59,
23b, 23b, 23b, 3705C8,1.01,-13.95,25.74,
23c, 23c, 23c, 3C05FA,4.46,-12.15,28,
24a, 24a, 24a, 5A0532,1.39,9,26.12,
24b, 24b, 24b, 5F0564,1.1,1.35,27.9,
24c, 24c, 24c,640596,2.88,5.85,28.74,
24d, 24d, 24d, 6905C8,4.84,-4.5,29.87,
25,25,25, 6E05FA,1.66,5.85,17.49,
31,31,31, 8C0532,2.97,-18.45,28.09,
32,32,32,910564,1.2,12.15,21.24,
35,35,35,960596,13.97,-12.6,-1.27,
3a, 3a, 3a, A005FA,17.51,-9,26.68
3b, 3b, 3b, A50532,24.23,-8.55,23.59
44,44,44, AF0596,15.56,3.15,22.84
45A, 45A, 45A, B405C8,20.12,8.55,23.87
45B, 45B, 45B, B905FA,17.98,4.5,24.34
46D, 46D, 46D, C36464,12.48,10.8,27.81
46V, 46V, 46V, C30564,11.55,11.25,25.18
47/12, 47(12), 47(12), C80596,16.3,14.4,23.68
6/32, 6/32, 6/32, FF6432,3.9,-3.6,32.03
8/32, 8/32, 8/32, 050A32,5.02,8.55,30.43
8A, 8A, 8A, 0A6464,18.17,-1.8,27.62
8AD, 8AD, 8AD, FF05C8,14.81,4.05,32.68
8AV, 8AV, 8AV, 000AFA,20.97,3.15,27.9
8B, 8B, 8B, 0F6496,10.15,7.65,32.68
9/32, 9/32, 9/32, 1E0A32,4.18,12.15,29.31
9L, 9L, 9L, 140AC8,6.33,12.6,33.53
9M, 9M, 9M, 190AFA,1.57,12.6,31.75
AA, AA, AA,640032,8.01,-5.85,9.61
AI, AI, AI, 0F3732,20.12,-2.7,16.18
DI, DI, DI, 2D19FA,22.36,-8.55,16.74
DIP, DIP, DIP, 5A1464,5.3,-27.45,28
EC, EC, EC, 5A19C8,10.71,-12.15,-2.02
ECL, ECL, ECL,551996,9.03,-13.95,-0.71
EI, EI, EI, 6E1996,10.06,-8.1,-0.42
ELR, ELR, ELR,691964,12.11,-3.15,2.67
ER, ER, ER, 737DC8,10.62,-4.05,2.02
FST, FST, FST, 1E1EC8,22.73,-23.4,16.74
GI, GI, GI,7.31E+34,19.01,-11.7,19.08
La, La, La, 2828FA,13.97,-6.75,5.77
MST, MST, MST, 5A32C8,14.81,-27.9,31.75
Me, Me, Me, DC2D96,8.1,-5.85,8.67
PE, PE, PE, 553C64,12.85,-21.15,36.72
PEC, PEC, PEC, 5A3C96,3.9,-27.9,38.97
PECg, PECg, PECg, 5F3CC8,4.65,-22.05,35.97
PF, PF, PF, DC3764,1.29,-13.95,12.61
PFG, PFG, PFG, 733C96,21.43,-18.45,30.34
PFOp, PFOp, PFOp, 82A032,24.88,-15.75,23.03
PG, PG, PG, 783CC8,17.8,-24.75,34.47
PGM, PGM, PGM, 7D3CFA,1.29,-28.35,27.06
PGOp, PGOp, PGOp, 823C32,22.36,-22.55,31.37
PO, PO, PO, 9B3C32,6.89,-33.3,26.59
PaAR, PaAR, PaAR, BE3732,24.97,-6.3,15.89
ProM, ProM, ProM, 3C0A64,23.67,3.15,13.74
S2, S2, S2, A04632,21.43,-4.05,21.43
ST1, ST1, ST1, CD6996,23.76,-1.35,8.77
ST2G, ST2G, ST2G, CD6964,25.16,-2.25,12.14
ST2S, ST2S, ST2S, CD6932,21.34,-1.35,12.99
ST3, ST3, ST3,145064,28.33,-9.9,11.39
TE1, TE1, TE1,735032,19.75,-7.2,0.14
TE2, TE2, TE2, 8250C8,23.76,-12.15,1.45
TE3, TE3, TE3,915064,27.21,-17.1,5.77
TEM, TEM, TEM,645096,27.4,-13.5,6.89
TEO, TEO, TEO, 6950C8,26,-26.1,9.43
TEOM, TEOM, TEOM, 6E50FA,26.93,-23.4,18.52
TEa, TEa, TEa,965096,22.92,-11.25,6.52
TF, TF, TF, 9B50C8,19.85,-14.4,-1.55
TFL, TFL, TFL, A050FA,23.67,-18.45,3.8
TFM, TFM, TFM, A0B496,20.78,-18.45,2.39
TFO, TFO, TFO, A55032,20.87,-21.6,5.86
TH, TH, TH, AA5064,9.96,-18.9,3.99
THO, THO, THO, AAB464,8.66,-20.7,9.14
TPO, TPO, TPO, CD69C8,21.99,-10.35,9.05
TPPro, TPPro, TPPro, CD50C8,19.19,0,10.18
TPt, TPt, TPt, 0055FA,26.74,-21.15,25.46
V1, V1, V1, 195A64,15.37,-36.9,18.33,
V2, V2, V2, 415AFA,2.13,-40.95,21.15,
V4D, V4D, V4D, 2D5A32,23.58,-30.6,28.37,
V4V, V4V, V4V, 375A96,20.78,-29.7,11.02,
10, 10D,10, FF0064,2.97,19.8,29.49,"there seems to be no plain '10' in incf, so I am gonna make incf's 10D the standard 10 for display purposes"
13, 13L,13,190596,13.13,8.55,18.9,"no plain 13 in incf, so making 13L plain 13 for display"
14, 14M,14,280532,0.64,13.05,16.08,"no plain 14 in incf, so making 14M plain 14 for display"
IPro, IPro,Ipro, 2D23C8,18.91,-4.95,12.89,case diff
OPro, OPro,Opro,963796,15.46,2.7,11.02,case diff
OPt, OPt, Opt, 6937C8,6.42,-32.85,37.09,case diff
PEa, PEa,Pea, 643CFA,3.81,-30.15,32.12,case diff
PGa, PGa,Pga, F03C96,19.19,-12.6,8.96,case diff
POa, POa,LIP, A03C64,19.38,-15.75,27.25,different naming convention
POaE, POaE,LIPE, 873C64,5.58,-30.6,34.18,different naming convention
POaI, POaI,LIPI, 8C3C96,6.52,-31.05,29.78,different naming convention
TLO(36O), TLO(36O),TLO,55532,15.84,-22.05,3.89,different naming convention
TLR(36R), TLR(36R),TLR, CD64C8,15,-11.25,-2.86,different naming convention
PaI, PaIL, PaI, F53764,24.41,-7.65,12.52,"there seems to be no plain 'PAI' in incf, so I am gonna make incf's 10D the standard 10 for display purposes"
