Source Target
12l Hyp
SI#2 Hyp
7#1 LD#1
PGm LD#1
23 LD#1
TF LD#1
TH LD#1
OA LD#1
DP LD#1
V2 LD#1
Amyg LD#1
23 AV
TH AV
13a AM#1
24 AM#1
23 AM#1
Amyg AM#1
13a AD#1
13 Re
24 Re
Insula Re
TG Re
Amyg Re
13 PT#2
24 PT#2
TG PT#2
Amyg PT#2
13 PAa
1#1 PAa
3b PAa
24 PAa
Amyg PAa
24 Clc
13 Cim
24 Cim
Amyg Cim
13a Cif
24 Cif
Amyg Cif
24 Cdc
Amyg Cdc
PG#1 MG
TG MG
A2 MG
paAlt MG
ST3 MG
TPO MG
TPOc MG
TPOr MG
Pul#1 LGN
OA LGN
V2 LGN
MB#2 LGN
PEc#1 IL#2
8 Pf#2
FEF Pf#2
6D Pf#2
F7 Pf#2
24 Pf#2
Insula Pf#2
46 Pcn
8 Pcn
6D Pcn
F7 Pcn
IPL Pcn
PFG#1 Pcn
24 Pcn
TPO Pcn
TPOc Pcn
IPa Pcn
V4 Pcn
V4t Pcn
DP Pcn
V2 Pcn
FEF CM#2
6D CM#2
F7 CM#2
F2 CM#2
F3 CM#2
M1 CM#2
M1-FL CM#2
MI-body CM#2
M1-HL CM#2
PFG#1 CM#2
24 CM#2
Insula CM#2
FEF Cl#2
6D Cl#2
F2 Cl#2
F3 Cl#2
M1 Cl#2
M1-FL Cl#2
M1-HL Cl#2
7#1 Cl#2
IPL Cl#2
PFG#1 Cl#2
PEc#1 Cl#2
PGm Cl#2
PECg Cl#2
TPO Cl#2
TPOc Cl#2
MT Cl#2
V4 Cl#2
DP Cl#2
FEF Csl
F7 Csl
7#1 Csl
IPL Csl
PEc#1 Csl
PGm Csl
24 Csl
TG Csl
V4 Csl
V4t Csl
DP Csl
13 Cs#2
24 Cs#2
7b MI#1
S2 PN
13 SG
IPL SG
PG#1 SG
PFG#1 SG
paAlt SG
ST3 SG
TPO SG
TPOc SG
13 Li
9 Li
46 Li
PG#1 Li
24 Li
A2 Li
ST3 Li
TPO Li
TPOc Li
IPa Li
Amyg Li
Pul#1 Ret
PI#3 Ret
12m Ret
FEF Ret
6D Ret
F2 Ret
F3 Ret
M1 Ret
M1-FL Ret
MI-body Ret
M1-HL Ret
IPL Ret
PFG#1 Ret
PEm Ret
PEc#1 Ret
PGm Ret
PECg Ret
24 Ret
